,0 / 20,,0 / 18 (Prestige) ,,,1⭐,Got The Role,Set 2,,4⭐,Broom Rock,Set 19,,,,,,10,Got The Role,2,,0,0,1,
,,,,,,1⭐,My Forte,Set 2,,4⭐,Daydreams,Set 19,,,,,,11,My Forte,2,,0,0,1,
,Individual Sets,,,,,1⭐,Arpeggios,Set 2,,5⭐,Great Pick,Set 19,,,,,,12,Arpeggios,2,,0,0,1,
,Set,Cards,Progress,,,1⭐,Rehearsal,Set 2,,5⭐,Rockstar!,Set 19,,,,,,13,Rehearsal,2,,0,0,1,
,Set 1,0/9,,0%,,1⭐,Mic Check,Set 2,,4⭐,The Moves,Set 20,,,,,,14,Mic Check,2,,0,0,1,
,Set 2,0/9,,0%,,1⭐,Sew Cute,Set 2,,5⭐,Call-Out,Set 20,,,,,,15,Sew Cute,2,,0,0,1,
,Set 3,0/9,,0%,,1⭐,Opening Night,Set 2,,5⭐,Clean Win!,Set 20,,,,,,16,Opening Night,2,,0,0,1,
,Set 4,0/9,,0%,,1⭐,Spectacle!,Set 2,,4⭐,La Traviata,Set 21,,,,,,17,Spectacle!,2,,0,0,1,
,Set 5,0/9,,0%,,2⭐,Curtain Call,Set 2,,4⭐,Madama Butterfly,Set 21,,,,,,18,Curtain Call,2,,0,0,2,
,Set 6,0/9,,0%,,1⭐,All That Jazz,Set 3,,5⭐,Royal Box,Set 21,,,,,,19,All That Jazz,3,,0,0,1,
,Set 7,0/9,,0%,,1⭐,Star Employee,Set 3,,5⭐,Ovazione,Set 21,,,,,,20,Star Employee,3,,0,0,1,
,Set 8,0/9,,0%,,1⭐,Jazz It Up,Set 3,,,,,,,,,,21,Jazz It Up,3,,0,0,1,
,Set 9,0/9,,0%,,1⭐,A Song to Sing,Set 3,,,,,,,,,,22,A Song to Sing,3,,0,0,1,
,Set 10,0/9,,0%,,1⭐,Stage Dream,Set 3,,,,,,,,,,23,Stage Dream,3,,0,0,1,
,Set 11,0/9,,0%,,1⭐,Solo Serenade,Set 3,,,,,,,,,,24,Solo Serenade,3,,0,0,1,
,Set 12,0/9,,0%,,1⭐,A Star Is Born,Set 3,,,,,,,,,,25,A Star Is Born,3,,0,0,1,
,Set 13,0/9,,0%,,2⭐,Meet the Band,Set 3,,,,,,,,,,26,Meet the Band,3,,0,0,2,
,Set 14,0/9,,0%,,2⭐,Dream Come True,Set 3,,,,,,,,,,27,Dream Come True,3,,0,0,2,
,Set 15,0/9,,0%,,1⭐,Baby Ludwig,Set 4,,,,,,,,,,28,Baby Ludwig,4,,0,0,1,
,Set 16,0/9,,0%,,1⭐,Young Promise,Set 4,,,,,,,,,,29,Young Promise,4,,0,0,1,
,Set 17,0/9,,0%,,1⭐,#1 Fan,Set 4,,,,,,,,,,30,#1 Fan,4,,0,0,1,
,Set 18,0/9,,0%,,1⭐,Fur Elise,Set 4,,,,,,,,,,31,Fur Elise,4,,0,0,1,
,Set 19,0/9,,0%,,1⭐,Clair de Lune,Set 4,,,,,,,,,,32,Clair de Lune,4,,0,0,1,
,Set 20,0/9,,0%,,1⭐,Symphony,Set 4,,,,,,,,,,33,Symphony,4,,0,0,1,
,Set 21,0/9,,0%,,2⭐,Resilience,Set 4,,,,,,,,,,34,Resilience,4,,0,0,2,
,Set 22 🏆,0/9,,0%,,2⭐,Splendid!,Set 4,,,,,,,,,,35,Splendid!,4,,0,0,2,
,Set 23 🏆,0/9,,0%,,2⭐,Mr. Maestro,Set 4,,,,,,,,,,36,Mr. Maestro,4,,0,0,2,
,Set 24 🏆,0/9,,0%,,1⭐,Melodic Legacy,Set 5,,,,,,,,,,37,Melodic Legacy,5,,0,0,1,
,Set 25 🏆,0/9,,0%,,1⭐,Carpool!,Set 5,,,,,,,,,,38,Carpool!,5,,0,0,1,
,Set 26 🏆,0/9,,0%,,1⭐,Bonfire Tunes,Set 5,,,,,,,,,,39,Bonfire Tunes,5,,0,0,1,
,,,,,,1⭐,Cool Kids,Set 5,,,,,,,,,,40,Cool Kids,5,,0,0,1,
,,,,,,1⭐,Proud Mom,Set 5,,,,,,,,,,41,Proud Mom,5,,0,0,1,
,,,,,,2⭐,Mixtape,Set 5,,,,,,,,,,42,Mixtape,5,,0,0,2,
,,,,,,2⭐,National Notes,Set 5,,,,,,,,,,43,National Notes,5,,0,0,2,
,,,,,,2⭐,Sacred Music,Set 5,,,,,,,,,,44,Sacred Music,5,,0,0,2,
,,,,,,2⭐,First Dance,Set 5,,,,,,,,,,45,First Dance,5,,0,0,2,
,,,,,,1⭐,Norse Rhythm,Set 6,,,,,,,,,,46,Norse Rhythm,6,,0,0,1,
,,,,,,1⭐,Mexico Lindo,Set 6,,,,,,,,,,47,Mexico Lindo,6,,0,0,1,
,,,,,,1⭐,Musical Chord,Set 6,,,,,,,,,,48,Musical Chord,6,,0,0,1,
,,,,,,2⭐,Sitar Song,Set 6,,,,,,,,,,49,Sitar Song,6,,0,0,2,
,,,,,,2⭐,Play Together,Set 6,,,,,,,,,,50,Play Together,6,,0,0,2,
,,,,,,2⭐,Ocarina of Mogul,Set 6,,,,,,,,,,51,Ocarina of Mogul,6,,0,0,2,
,,,,,,2⭐,Edo Music,Set 6,,,,,,,,,,52,Edo Music,6,,0,0,2,
,,,,,,2⭐,Ukelele Paradise,Set 6,,,,,,,,,,53,Ukelele Paradise,6,,0,0,2,
,,,,,,3⭐,Chime Bells,Set 6,,,,,,,,,,54,Chime Bells,6,,0,0,3,
,,,,,,1⭐,Studio Sesh,Set 7,,,,,,,,,,55,Studio Sesh,7,,0,0,1,
,,,,,,1⭐,Press Fun,Set 7,,,,,,,,,,56,Press Fun,7,,0,0,1,
,,,,,,2⭐,New Drop,Set 7,,,,,,,,,,57,New Drop,7,,0,0,2,
,,,,,,2⭐,Cover Boys,Set 7,,,,,,,,,,58,Cover Boys,7,,0,0,2,
,,,,,,2⭐,Tycoon Stars,Set 7,,,,,,,,,,59,Tycoon Stars,7,,0,0,2,
,,,,,,2⭐,Talk Show,Set 7,,,,,,,,,,60,Talk Show,7,,0,0,2,
,,,,,,2⭐,Jam Packed,Set 7,,,,,,,,,,61,Jam Packed,7,,0,0,2,
,,,,,,3⭐,Superfandom,Set 7,,,,,,,,,,62,Superfandom,7,,0,0,3,
,,,,,,3⭐,Show Time!,Set 7,,,,,,,,,,63,Show Time!,7,,0,0,3,
,,,,,,2⭐,Notes Avenue,Set 8,,,,,,,,,,64,Notes Avenue,8,,0,0,2,
,,,,,,2⭐,Clean Routine!,Set 8,,,,,,,,,,65,Clean Routine!,8,,0,0,2,
,,,,,,2⭐,Flute Magic,Set 8,,,,,,,,,,66,Flute Magic,8,,0,0,2,
,,,,,,2⭐,High Notes,Set 8,,,,,,,,,,67,High Notes,8,,0,0,2,
,,,,,,2⭐,Sharp!,Set 8,,,,,,,,,,68,Sharp!,8,,0,0,2,
,,,,,,2⭐,Detache,Set 8,,,,,,,,,,69,Detache,8,,0,0,2,
,,,,,,3⭐,Robotic!,Set 8,,,,,,,,,,70,Robotic!,8,,0,0,3,
,,,,,,3⭐,Don’t Fret,Set 8,,,,,,,,,,71,Don’t Fret,8,,0,0,3,
,,,,,,3⭐,Drumroll,Set 8,,,,,,,,,,72,Drumroll,8,,0,0,3,
,,,,,,2⭐,Stage Fright,Set 9,,,,,,,,,,73,Stage Fright,9,,0,0,2,
,,,,,,2⭐,Best Spot,Set 9,,,,,,,,,,74,Best Spot,9,,0,0,2,
,,,,,,2⭐,The KJ,Set 9,,,,,,,,,,75,The KJ,9,,0,0,2,
,,,,,,2⭐,Sing It Out,Set 9,,,,,,,,,,76,Sing It Out,9,,0,0,2,
,,,,,,2⭐,Invested,Set 9,,,,,,,,,,77,Invested,9,,0,0,2,
,,,,,,3⭐,Gentle Nudge,Set 9,,,,,,,,,,78,Gentle Nudge,9,,0,0,3,
,,,,,,3⭐,Set The Stage,Set 9,,,,,,,,,,79,Set The Stage,9,,0,0,3,
,,,,,,3⭐,Karaoke Dokey,Set 9,,,,,,,,,,80,Karaoke Dokey,9,,0,0,3,
,,,,,,4⭐,Sweet Duets,Set 9,,,,,,,,,,81,Sweet Duets,9,,0,0,4,
,,,,,,2⭐,Hay Girl,Set 10,,,,,,,,,,82,Hay Girl,10,,0,0,2,
,,,,,,2⭐,Saddle Up!,Set 10,,,,,,,,,,83,Saddle Up!,10,,0,0,2,
,,,,,,2⭐,Pickin’ Girl,Set 10,,,,,,,,,,84,Pickin’ Girl,10,,0,0,2,
,,,,,,2⭐,Steeled Lips,Set 10,,,,,,,,,,85,Steeled Lips,10,,0,0,2,
,,,,,,2⭐,Country Call,Set 10,,,,,,,,,,86,Country Call,10,,0,0,2,
,,,,,,3⭐,Another Coin,Set 10,,,,,,,,,,87,Another Coin,10,,0,0,3,
,,,,,,3⭐,Solid Design,Set 10,,,,,,,,,,88,Solid Design,10,,0,0,3,
,,,,,,4⭐,Honky-Tonk,Set 10,,,,,,,,,,89,Honky-Tonk,10,,0,0,4,
,,,,,,4⭐,Western Star,Set 10,,,,,,,,,,90,Western Star,10,,0,0,4,
,,,,,,2⭐,"Oh, Sheet!",Set 11,,,,,,,,,,91,"Oh, Sheet!",11,,0,0,2,
,,,,,,2⭐,Fiddlelity,Set 11,,,,,,,,,,92,Fiddlelity,11,,0,0,2,
,,,,,,2⭐,Regal Concert,Set 11,,,,,,,,,,93,Regal Concert,11,,0,0,2,
,,,,,,2⭐,Bella Italia,Set 11,,,,,,,,,,94,Bella Italia,11,,0,0,2,
,,,,,,3⭐,Inspiration,Set 11,,,,,,,,,,95,Inspiration,11,,0,0,3,
,,,,,,3⭐,Ingenious Work,Set 11,,,,,,,,,,96,Ingenious Work,11,,0,0,3,
,,,,,,3⭐,Vibrato!,Set 11,,,,,,,,,,97,Vibrato!,11,,0,0,3,
,,,,,,4⭐,The Magic Flute,Set 11,,,,,,,,,,98,The Magic Flute,11,,0,0,4,
,,,,,,4⭐,Making History,Set 11,,,,,,,,,,99,Making History,11,,0,0,4,
,,,,,,2⭐,Jitters,Set 12,,,,,,,,,,100,Jitters,12,,0,0,2,
,,,,,,2⭐,It Girl!,Set 12,,,,,,,,,,101,It Girl!,12,,0,0,2,
,,,,,,2⭐,Video Hit,Set 12,,,,,,,,,,102,Video Hit,12,,0,0,2,
,,,,,,3⭐,Starry-Eyed,Set 12,,,,,,,,,,103,Starry-Eyed,12,,0,0,3,
,,,,,,3⭐,Lip-Sync,Set 12,,,,,,,,,,104,Lip-Sync,12,,0,0,3,
,,,,,,3⭐,Ms Fever,Set 12,,,,,,,,,,105,Ms Fever,12,,0,0,3,
,,,,,,4⭐,Paparazzi,Set 12,,,,,,,,,,106,Paparazzi,12,,0,0,4,
,,,,,,4⭐,Devoted Fans,Set 12,,,,,,,,,,107,Devoted Fans,12,,0,0,4,TRUE
,,,,,,2⭐,Tycoon Festival!,Set 13,,,,,,,,,,108,All In!,12,1,0,0,4,
,,,,,,2⭐,Selfie!,Set 13,,,,,,,,,,109,Tycoon Festival!,13,,0,0,2,
,,,,,,2⭐,Rock On,Set 13,,,,,,,,,,110,Selfie!,13,,0,0,2,
,,,,,,3⭐,Mosh Pit,Set 13,,,,,,,,,,111,Rock On,13,,0,0,2,
,,,,,,3⭐,To GO!,Set 13,,,,,,,,,,112,Mosh Pit,13,,0,0,3,
,,,,,,3⭐,Glamping,Set 13,,,,,,,,,,113,To GO!,13,,0,0,3,
,,,,,,4⭐,Inkredible,Set 13,,,,,,,,,,114,Glamping,13,,0,0,3,
,,,,,,5⭐,Monopoly Tunes,Set 13,,,,,,,,,,115,Inkredible,13,,0,0,4,
,,,,,,2⭐,Vinyland,Set 14,,,,,,,,,,116,Merch It!,13,1,0,0,4,
,,,,,,2⭐,Treasure Hunt,Set 14,,,,,,,,,,117,Monopoly Tunes,13,,0,0,5,
,,,,,,3⭐,For The Record,Set 14,,,,,,,,,,118,Vinyland,14,,0,0,2,
,,,,,,3⭐,Crate Digger,Set 14,,,,,,,,,,119,Treasure Hunt,14,,0,0,2,
,,,,,,3⭐,Special Request,Set 14,,,,,,,,,,120,For The Record,14,,0,0,3,
,,,,,,3⭐,Stereo-Types,Set 14,,,,,,,,,,121,Crate Digger,14,,0,0,3,
,,,,,,5⭐,Smash Hit,Set 14,,,,,,,,,,122,Special Request,14,,0,0,3,
,,,,,,5⭐,Happy Stroll,Set 14,,,,,,,,,,123,Stereo-Types,14,,0,0,3,
,,,,,,2⭐,Got Served!,Set 15,,,,,,,,,,124,Rare Find,14,1,0,0,4,
,,,,,,3⭐,Pan-tastic!,Set 15,,,,,,,,,,125,Smash Hit,14,,0,0,5,
,,,,,,3⭐,Melody Blowing,Set 15,,,,,,,,,,126,Happy Stroll,14,,0,0,5,
,,,,,,3⭐,Crystal Clear,Set 15,,,,,,,,,,127,Got Served!,15,,0,0,2,
,,,,,,4⭐,Sweet Rhythm,Set 15,,,,,,,,,,128,Pan-tastic!,15,,0,0,3,
,,,,,,4⭐,Matching Songs,Set 15,,,,,,,,,,129,Melody Blowing,15,,0,0,3,
,,,,,,5⭐,Washboard Tunes,Set 15,,,,,,,,,,130,Crystal Clear,15,,0,0,3,
,,,,,,5⭐,Flutiful!,Set 15,,,,,,,,,,131,Sweet Rhythm,15,,0,0,4,
,,,,,,2⭐,Trainees,Set 16,,,,,,,,,,132,Matching Songs,15,,0,0,4,
,,,,,,3⭐,Aegyo Merch,Set 16,,,,,,,,,,133,Shake It!,15,1,0,0,4,
,,,,,,3⭐,Omo!,Set 16,,,,,,,,,,134,Washboard Tunes,15,,0,0,5,
,,,,,,3⭐,The Debut!,Set 16,,,,,,,,,,135,Flutiful!,15,,0,0,5,
,,,,,,4⭐,Going Viral,Set 16,,,,,,,,,,136,Trainees,16,,0,0,2,
,,,,,,4⭐,Big Gig,Set 16,,,,,,,,,,137,Aegyo Merch,16,,0,0,3,
,,,,,,5⭐,Bias Wrecker,Set 16,,,,,,,,,,138,Omo!,16,,0,0,3,
,,,,,,5⭐,True Idols,Set 16,,,,,,,,,,139,The Debut!,16,,0,0,3,
,,,,,,3⭐,Instrument Bliss,Set 17,,,,,,,,,,140,Going Viral,16,,0,0,4,
,,,,,,3⭐,Triple Fret,Set 17,,,,,,,,,,141,Big Gig,16,,0,0,4,
,,,,,,3⭐,Nose Notes,Set 17,,,,,,,,,,142,We Did It!,16,1,0,0,4,
,,,,,,4⭐,Hurdy Gurdy,Set 17,,,,,,,,,,143,Bias Wrecker,16,,0,0,5,
,,,,,,4⭐,Theremin,Set 17,,,,,,,,,,144,True Idols,16,,0,0,5,
,,,,,,5⭐,Glass Harmonica,Set 17,,,,,,,,,,145,Instrument Bliss,17,,0,0,3,
,,,,,,5⭐,Melodic Haul,Set 17,,,,,,,,,,146,Triple Fret,17,,0,0,3,
,,,,,,3⭐,70s Vibes,Set 18,,,,,,,,,,147,Nose Notes,17,,0,0,3,
,,,,,,3⭐,So Fab!,Set 18,,,,,,,,,,148,Hurdy Gurdy,17,,0,0,4,
,,,,,,3⭐,Casanova,Set 18,,,,,,,,,,149,Theremin,17,,0,0,4,
,,,,,,4⭐,Don’t Wait Up,Set 18,,,,,,,,,,150,Kalimba,17,1,0,0,4,
,,,,,,4⭐,Cool Wagon,Set 18,,,,,,,,,,151,Glass Harmonica,17,,0,0,5,
,,,,,,5⭐,Groove On,Set 18,,,,,,,,,,152,Melodic Haul,17,,0,0,5,
,,,,,,5⭐,Tycoon Hustle,Set 18,,,,,,,,,,153,New Hobby,17,1,0,0,5,
,,,,,,3⭐,The Business,Set 19,,,,,,,,,,154,70s Vibes,18,,0,0,3,
,,,,,,3⭐,Pure Boredom,Set 19,,,,,,,,,,155,So Fab!,18,,0,0,3,
,,,,,,4⭐,Tantalizing,Set 19,,,,,,,,,,156,Casanova,18,,0,0,3,
,,,,,,4⭐,One Day,Set 19,,,,,,,,,,157,Don’t Wait Up,18,,0,0,4,
,,,,,,5⭐,The Best Gift,Set 19,,,,,,,,,,158,Cool Wagon,18,,0,0,4,
,,,,,,3⭐,Breakdance,Set 20,,,,,,,,,,159,Funky Music,18,1,0,0,4,
,,,,,,4⭐,Set Practice,Set 20,,,,,,,,,,160,Groove On,18,,0,0,5,
,,,,,,4⭐,Hold On!,Set 20,,,,,,,,,,161,Tycoon Hustle,18,,0,0,5,
,,,,,,4⭐,The Crew,Set 20,,,,,,,,,,162,Boogie Down,18,1,0,0,5,
,,,,,,5⭐,Beatboxer,Set 20,,,,,,,,,,163,The Business,19,,0,0,3,
,,,,,,5⭐,Bucket Drums,Set 20,,,,,,,,,,164,Pure Boredom,19,,0,0,3,
,,,,,,3⭐,Theatre M,Set 21,,,,,,,,,,165,Tantalizing,19,,0,0,4,
,,,,,,4⭐,Orchestra,Set 21,,,,,,,,,,166,One Day,19,,0,0,4,
,,,,,,4⭐,Overture,Set 21,,,,,,,,,,167,Broom Rock,19,1,0,0,4,
,,,,,,5⭐,La Boheme,Set 21,,,,,,,,,,168,Daydreams,19,1,0,0,4,
,,,,,,5⭐,The Barber of Seville,Set 21,,,,,,,,,,169,The Best Gift,19,,0,0,5,
,,,,,,,,,,,,,,,,,,170,Great Pick,19,1,0,0,5,
,,,,,,,,,,,,,,,,,,171,Rockstar!,19,1,0,0,5,
,,,,,,,,,,,,,,,,,,172,Breakdance,20,,0,0,3,
,,,,,,,,,,,,,,,,,,173,Set Practice,20,,0,0,4,
,,,,,,,,,,,,,,,,,,174,Hold On!,20,,0,0,4,
,,,,,,,,,,,,,,,,,,175,The Crew,20,,0,0,4,
,,,,,,,,,,,,,,,,,,176,The Moves,20,1,0,0,4,
,,,,,,,,,,,,,,,,,,177,Beatboxer,20,,0,0,5,
,,,,,,,,,,,,,,,,,,178,Bucket Drums,20,,0,0,5,
,,,,,,,,,,,,,,,,,,179,Call-Out,20,1,0,0,5,
,,,,,,,,,,,,,,,,,,180,Clean Win!,20,1,0,0,5,
,,,,,,,,,,,,,,,,,,181,Theatre M,21,,0,0,3,
,,,,,,,,,,,,,,,,,,182,Orchestra,21,,0,0,4,
,,,,,,,,,,,,,,,,,,183,Overture,21,,0,0,4,
,,,,,,,,,,,,,,,,,,184,La Traviata,21,1,0,0,4,
,,,,,,,,,,,,,,,,,,185,Madama Butterfly,21,1,0,0,4,
,,,,,,,,,,,,,,,,,,186,La Boheme,21,,0,0,5,
,,,,,,,,,,,,,,,,,,187,The Barber of Seville,21,,0,0,5,
,,,,,,,,,,,,,,,,,,188,Royal Box,21,1,0,0,5,
,,,,,,,,,,,,,,,,,,189,Ovazione,21,1,0,0,5,
,,,,,,,,,,,,,,,,,,190,Bored Meeting,22,,0,0,3,
,,,,,,,,,,,,,,,,,,191,DJ Dreams,22,,0,0,4,
,,,,,,,,,,,,,,,,,,192,Scratching!,22,,0,0,4,
,,,,,,,,,,,,,,,,,,193,Party On!,22,,0,0,4,
,,,,,,,,,,,,,,,,,,194,Key Master,22,1,0,0,4,
,,,,,,,,,,,,,,,,,,195,Drum Machine,22,1,0,0,4,
,,,,,,,,,,,,,,,,,,196,That Drop,22,,0,0,5,
,,,,,,,,,,,,,,,,,,197,Wake-Up Call!,22,,0,0,5,
,,,,,,,,,,,,,,,,,,198,Outro!,22,,0,0,5,
,,,,,,,,,,,,,,,,,,199,Mogul Mayhem,23,,0,0,3,
,,,,,,,,,,,,,,,,,,200,You Rock!,23,,0,0,4,
,,,,,,,,,,,,,,,,,,201,Tour Bus,23,,0,0,4,
,,,,,,,,,,,,,,,,,,202,Rock Paper Scissors,23,,0,0,4,
,,,,,,,,,,,,,,,,,,203,The Road,23,1,0,0,4,
,,,,,,,,,,,,,,,,,,204,Fun City,23,,0,0,5,
,,,,,,,,,,,,,,,,,,205,Interlude,23,,0,0,5,
,,,,,,,,,,,,,,,,,,206,The Hair,23,,0,0,5,
,,,,,,,,,,,,,,,,,,207,Power Chords,23,1,0,0,5,
,,,,,,,,,,,,,,,,,,208,Dream Big,24,,0,0,4,
,,,,,,,,,,,,,,,,,,209,Little Prayer,24,,0,0,4,
,,,,,,,,,,,,,,,,,,210,First Gigs,24,,0,0,4,
,,,,,,,,,,,,,,,,,,211,Talent Team,24,1,0,0,4,
,,,,,,,,,,,,,,,,,,212,Cantaora,24,1,0,0,4,
,,,,,,,,,,,,,,,,,,213,The Fame,24,,0,0,5,
,,,,,,,,,,,,,,,,,,214,Own The Stage,24,,0,0,5,
,,,,,,,,,,,,,,,,,,215,Ole Awards,24,1,0,0,5,
,,,,,,,,,,,,,,,,,,216,So Proud,24,1,0,0,5,
,,,,,,,,,,,,,,,,,,217,Banger Tune,25,,0,0,4,
,,,,,,,,,,,,,,,,,,218,Ancient Rhythms,25,,0,0,4,
,,,,,,,,,,,,,,,,,,219,Stone Jams,25,1,0,0,4,
,,,,,,,,,,,,,,,,,,220,Mammoth Flute,25,1,0,0,4,
,,,,,,,,,,,,,,,,,,221,Treble Maker,25,1,0,0,4,
,,,,,,,,,,,,,,,,,,222,Bone Rattle,25,,0,0,5,
,,,,,,,,,,,,,,,,,,223,Strings Attached,25,,0,0,5,
,,,,,,,,,,,,,,,,,,224,Fire Beats,25,1,0,0,5,
,,,,,,,,,,,,,,,,,,225,Leaving a Mark,25,1,0,0,5,
,,,,,,,,,,,,,,,,,,226,First Stage,26,,0,0,4,
,,,,,,,,,,,,,,,,,,227,Hard Dog’s Night,26,,0,0,4,
,,,,,,,,,,,,,,,,,,228,Drum Starr,26,1,0,0,4,
,,,,,,,,,,,,,,,,,,229,The Invasion,26,1,0,0,4,
,,,,,,,,,,,,,,,,,,230,True Fans,26,,0,0,5,
,,,,,,,,,,,,,,,,,,231,In The Booth,26,,0,0,5,
,,,,,,,,,,,,,,,,,,232,Historic Step,26,1,0,0,5,
,,,,,,,,,,,,,,,,,,233,Mogulmania,26,1,0,0,5,
,,,,,,,,,,,,,,,,,,234,Last Audition,26,1,0,0,5,
,,,,,,,,,,,,,,,,,,235,,,,,,,
